Impact,Year,Country,Protection,Impact Func ID
192497.6423765508,2020,SOM,FLOPROS,13
38175.43617191327,2021,SOM,FLOPROS,13
17128.312049645523,2022,SOM,FLOPROS,13
264818.68426269555,2023,SOM,FLOPROS,13
39905.65968075251,2008,SOM,FLOPROS,14
75463.11511282534,2009,SOM,FLOPROS,14
38555.602617965094,2010,SOM,FLOPROS,14
41263.837326445835,2011,SOM,FLOPROS,14
23251.411346944533,2012,SOM,FLOPROS,14
38402.58535061783,2013,SOM,FLOPROS,14
36187.872094592836,2014,SOM,FLOPROS,14
37557.9720208572,2015,SOM,FLOPROS,14
127710.93674795322,2016,SOM,FLOPROS,14
40452.41308978981,2017,SOM,FLOPROS,14
164231.75997966496,2018,SOM,FLOPROS,14
71396.20284296987,2019,SOM,FLOPROS,14
168163.7626679485,2020,SOM,FLOPROS,14
28705.49039872576,2021,SOM,FLOPROS,14
22309.30903949531,2022,SOM,FLOPROS,14
267468.91164862877,2023,SOM,FLOPROS,14
50932.23446471335,2008,SOM,FLOPROS,15
72798.73253082308,2009,SOM,FLOPROS,15
45447.29811496298,2010,SOM,FLOPROS,15
49820.05622669772,2011,SOM,FLOPROS,15
29814.90386083773,2012,SOM,FLOPROS,15
47309.934141017366,2013,SOM,FLOPROS,15
45987.81039519742,2014,SOM,FLOPROS,15
41738.86591540568,2015,SOM,FLOPROS,15
129943.7940890634,2016,SOM,FLOPROS,15
45992.018928181344,2017,SOM,FLOPROS,15
179383.3055055885,2018,SOM,FLOPROS,15
81267.09736816787,2019,SOM,FLOPROS,15
180329.09768555145,2020,SOM,FLOPROS,15
35256.620636920095,2021,SOM,FLOPROS,15
31940.321604241835,2022,SOM,FLOPROS,15
329311.1188695654,2023,SOM,FLOPROS,15
53809.41629059506,2008,SOM,FLOPROS,16
70148.9110290027,2009,SOM,FLOPROS,16
47155.224010972226,2010,SOM,FLOPROS,16
51523.527975466866,2011,SOM,FLOPROS,16
31553.172684227502,2012,SOM,FLOPROS,16
49991.76173048126,2013,SOM,FLOPROS,16
48224.006028615004,2014,SOM,FLOPROS,16
42753.67704910171,2015,SOM,FLOPROS,16
128095.62046709667,2016,SOM,FLOPROS,16
47460.91972678851,2017,SOM,FLOPROS,16
180816.27164619707,2018,SOM,FLOPROS,16
83836.59763197206,2019,SOM,FLOPROS,16
179119.66041802656,2020,SOM,FLOPROS,16
37415.233725668964,2021,SOM,FLOPROS,16
34176.86490994332,2022,SOM,FLOPROS,16
338158.6655480652,2023,SOM,FLOPROS,16
56629.27981347392,2008,SOM,FLOPROS,17
76245.42292276004,2009,SOM,FLOPROS,17
49291.71447360168,2010,SOM,FLOPROS,17
53735.86812514377,2011,SOM,FLOPROS,17
32921.173235097915,2012,SOM,FLOPROS,17
51966.80297276027,2013,SOM,FLOPROS,17
51022.9099195859,2014,SOM,FLOPROS,17
45332.11716069858,2015,SOM,FLOPROS,17
141391.32897283885,2016,SOM,FLOPROS,17
48908.05563125769,2017,SOM,FLOPROS,17
199843.01948394708,2018,SOM,FLOPROS,17
89906.35386830286,2019,SOM,FLOPROS,17
195337.7910949816,2020,SOM,FLOPROS,17
39280.119882975116,2021,SOM,FLOPROS,17
35351.62390771623,2022,SOM,FLOPROS,17
367229.9130816263,2023,SOM,FLOPROS,17
