Country,Protection,Impact Func ID,Return Period,PMD
SDN,FLOPROS,1,25,820063.2086854806
SDN,FLOPROS,1,50,977818.4954777197
SDN,FLOPROS,1,100,1134410.3219182945
SDN,FLOPROS,2,2,213539.19172384968
SDN,FLOPROS,2,5,507243.12195341126
SDN,FLOPROS,2,10,701698.9023879335
SDN,FLOPROS,2,25,947396.8200396894
SDN,FLOPROS,2,50,1129667.6217236465
SDN,FLOPROS,2,100,1310594.158785242
SDN,FLOPROS,3,2,204031.0073106047
SDN,FLOPROS,3,5,484607.98004511546
SDN,FLOPROS,3,10,670372.6518436865
SDN,FLOPROS,3,25,905089.2179040076
SDN,FLOPROS,3,50,1079213.5127828836
SDN,FLOPROS,3,100,1252053.6243074492
SDN,FLOPROS,4,2,216410.81459414432
SDN,FLOPROS,4,5,514014.0636344143
SDN,FLOPROS,4,10,711051.5088151543
SDN,FLOPROS,4,25,960011.4002215774
SDN,FLOPROS,4,50,1144702.0944997317
SDN,FLOPROS,4,100,1328030.6772158376
SDN,FLOPROS,5,2,184909.8020505912
SDN,FLOPROS,5,5,439110.40531402867
SDN,FLOPROS,5,10,607411.7850602327
SDN,FLOPROS,5,25,820063.2086854806
SDN,FLOPROS,5,50,977818.4954777197
SDN,FLOPROS,5,100,1134410.3219182945
SDN,FLOPROS,6,2,224161.6873648843
SDN,FLOPROS,6,5,532617.2244690434
SDN,FLOPROS,6,10,736839.7629623396
SDN,FLOPROS,6,25,994878.1320621681
SDN,FLOPROS,6,50,1186303.6876816885
SDN,FLOPROS,6,100,1376317.4614916272
SDN,FLOPROS,7,2,220779.92301049936
SDN,FLOPROS,7,5,523368.0610006675
SDN,FLOPROS,7,10,723705.9062488298
SDN,FLOPROS,7,25,976835.9047210927
SDN,FLOPROS,7,50,1164620.1895565584
SDN,FLOPROS,7,100,1351019.5473032768
SDN,FLOPROS,8,2,242741.6876467234
SDN,FLOPROS,8,5,576374.3452599727
SDN,FLOPROS,8,10,797266.1759001683
SDN,FLOPROS,8,25,1076366.4561454002
SDN,FLOPROS,8,50,1283416.7735299354
SDN,FLOPROS,8,100,1488940.074990157
SDN,FLOPROS,9,2,236465.78935261435
SDN,FLOPROS,9,5,561701.5122393727
SDN,FLOPROS,9,10,777033.8922647218
SDN,FLOPROS,9,25,1049109.719771633
SDN,FLOPROS,9,50,1250948.9525680623
SDN,FLOPROS,9,100,1451299.6016881918
SDN,FLOPROS,10,2,218358.4039064305
SDN,FLOPROS,10,5,518111.21392176603
SDN,FLOPROS,10,10,716571.8424990347
SDN,FLOPROS,10,25,967329.9483693441
SDN,FLOPROS,10,50,1153354.64659456
SDN,FLOPROS,10,100,1338007.3948508322
SDN,FLOPROS,11,2,213539.19172384968
SDN,FLOPROS,11,5,507243.12195341126
SDN,FLOPROS,11,10,701698.9023879335
SDN,FLOPROS,11,25,947396.8200396894
SDN,FLOPROS,11,50,1129667.6217236465
SDN,FLOPROS,11,100,1310594.158785242
SDN,FLOPROS,12,2,232712.21832283345
SDN,FLOPROS,12,5,552887.1572943798
SDN,FLOPROS,12,10,764868.8886407211
SDN,FLOPROS,12,25,1032711.1191757389
SDN,FLOPROS,12,50,1231409.6614793513
SDN,FLOPROS,12,100,1428642.7829998988
SDN,FLOPROS,13,2,216411.76562416155
SDN,FLOPROS,13,5,514016.32557701087
SDN,FLOPROS,13,10,711054.6386880114
SDN,FLOPROS,13,25,960015.6267378833
SDN,FLOPROS,13,50,1144707.134560094
SDN,FLOPROS,13,100,1328036.5248202912
SDN,FLOPROS,14,2,246169.56266966742
SDN,FLOPROS,14,5,583699.5066507555
SDN,FLOPROS,14,10,807171.6563954401
SDN,FLOPROS,14,25,1089532.2101559842
SDN,FLOPROS,14,50,1299001.158813525
SDN,FLOPROS,14,100,1506925.2539094305
SDN,FLOPROS,15,2,197735.09977067367
SDN,FLOPROS,15,5,469642.01141690434
SDN,FLOPROS,15,10,649666.4008364865
SDN,FLOPROS,15,25,877130.0303983449
SDN,FLOPROS,15,50,1045873.7401962705
SDN,FLOPROS,15,100,1213372.9489702706
SDN,FLOPROS,16,2,205868.7127802176
SDN,FLOPROS,16,5,488588.64198768086
SDN,FLOPROS,16,10,675772.1244676735
SDN,FLOPROS,16,25,912281.3799980035
SDN,FLOPROS,16,50,1087735.5801116973
SDN,FLOPROS,16,100,1261895.7886925808
SDN,FLOPROS,17,2,224161.6873648843
SDN,FLOPROS,17,5,532617.2244690434
SDN,FLOPROS,17,10,736839.7629623396
SDN,FLOPROS,17,25,994878.1320621681
SDN,FLOPROS,17,50,1186303.6876816885
SDN,FLOPROS,17,100,1376317.4614916272
SDN,FLOPROS,18,2,197735.09977067367
SDN,FLOPROS,18,5,469642.01141690434
SDN,FLOPROS,18,10,649666.4008364865
SDN,FLOPROS,18,25,877130.0303983449
SDN,FLOPROS,18,50,1045873.7401962705
SDN,FLOPROS,18,100,1213372.9489702706
SDN,FLOPROS,19,2,205868.7127802176
SDN,FLOPROS,19,5,488588.64198768086
SDN,FLOPROS,19,10,675772.1244676735
SDN,FLOPROS,19,25,912281.3799980035
SDN,FLOPROS,19,50,1087735.5801116973
SDN,FLOPROS,19,100,1261895.7886925808
SDN,No Protection,0,2,100458.30554785143
SDN,No Protection,0,5,183697.89197860286
SDN,No Protection,0,10,238809.2373725415
